PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),QC
5200811,127025,2015-11-16T01:00:00Z,22.9355,139.6918,0,001117
5200811,127025,2015-11-16T02:00:00Z,22.9363,139.6930,0,001117
5200811,127025,2015-11-16T03:00:00Z,22.9926,139.6927,0,001447
5200811,127025,2015-11-16T04:00:00Z,22.9926,139.6927,0,001117
5200811,127025,2015-11-16T05:00:00Z,23.0216,139.6926,0,001117
5200811,127025,2015-11-16T06:00:00Z,23.0199,139.6918,0,001117
5200811,127025,2015-11-16T07:00:00Z,23.0549,139.6791,0,001117
5200811,127025,2015-11-16T08:00:00Z,23.0539,139.6721,0,001117
5200811,127025,2015-11-16T09:00:00Z,23.0855,139.6855,0,001117
5200811,127025,2015-11-16T10:00:00Z,23.1051,139.6774,0,001117
5200811,127025,2015-11-16T11:00:00Z,23.1103,139.6700,0,001117
5200811,127025,2015-11-16T13:00:00Z,23.1352,139.6703,0,001117
5200811,127025,2015-11-16T14:00:00Z,23.1352,139.6703,0,001117
5200811,127025,2015-11-16T15:00:00Z,23.2069,139.6697,0,001447
5200811,127025,2015-11-16T16:00:00Z,23.2069,139.6697,0,001117
5200811,127025,2015-11-16T17:00:00Z,23.2121,139.6601,0,001117
5200811,127025,2015-11-16T18:00:00Z,23.2396,139.6561,0,001117
5200811,127025,2015-11-16T19:00:00Z,23.2651,139.6624,0,001117
5200811,127025,2015-11-16T20:00:00Z,23.2750,139.6706,0,001117
5200811,127025,2015-11-16T21:00:00Z,23.3031,139.6664,0,001117
5200811,127025,2015-11-16T22:00:00Z,23.3064,139.6614,0,001117
5200811,127025,2015-11-16T23:00:00Z,23.3064,139.6614,0,001117
5200811,127025,2015-11-17T00:00:00Z,23.3293,139.6555,0,001117
5200811,127025,2015-11-17T01:00:00Z,23.3639,139.6607,0,001117
5200811,127025,2015-11-17T02:00:00Z,23.3639,139.6607,0,001117
5200811,127025,2015-11-17T03:00:00Z,23.4212,139.6488,0,001447
5200811,127025,2015-11-17T04:00:00Z,23.4181,139.6530,0,001117
5200811,127025,2015-11-17T05:00:00Z,23.4568,139.6614,0,001117
5200811,127025,2015-11-17T06:00:00Z,23.4568,139.6614,0,001117
5200811,127025,2015-11-17T07:00:00Z,23.4850,139.6484,0,001117
5200811,127025,2015-11-17T08:00:00Z,23.4911,139.6496,0,001117
5200811,127025,2015-11-17T09:00:00Z,23.5155,139.6533,0,001117
5200811,127025,2015-11-17T10:00:00Z,23.5359,139.6496,0,001117
5200811,127025,2015-11-17T11:00:00Z,23.5679,139.6497,0,001117
5200811,127025,2015-11-17T12:00:00Z,23.5888,139.6606,0,001117
5200811,127025,2015-11-17T13:00:00Z,23.6011,139.6599,0,001117
5200811,127025,2015-11-17T14:00:00Z,23.6011,139.6599,0,001117
5200811,127025,2015-11-17T15:00:00Z,23.6642,139.6498,0,001447
5200811,127025,2015-11-17T16:00:00Z,23.6642,139.6498,0,001117
5200811,127025,2015-11-17T17:00:00Z,23.6647,139.6496,0,001117
5200811,127025,2015-11-17T18:00:00Z,23.6971,139.6538,0,001117
5200811,127025,2015-11-17T19:00:00Z,23.7344,139.6576,0,001117
5200811,127025,2015-11-17T20:00:00Z,23.7355,139.6614,0,001117
5200811,127025,2015-11-17T21:00:00Z,23.7481,139.6711,0,001117
5200811,127025,2015-11-17T22:00:00Z,23.7589,139.6607,0,001117
5200811,127025,2015-11-17T23:00:00Z,23.8185,139.6567,0,001447
5200811,127025,2015-11-18T00:00:00Z,23.8185,139.6567,0,001117
5200811,127025,2015-11-18T01:00:00Z,23.8242,139.6644,0,001117
5200811,127025,2015-11-18T02:00:00Z,23.8242,139.6644,0,001117
5200811,127025,2015-11-18T03:00:00Z,23.8912,139.6523,0,001447
5200811,127025,2015-11-18T04:00:00Z,23.8912,139.6523,0,001117
5200811,127025,2015-11-18T05:00:00Z,23.9276,139.6741,0,001117
5200811,127025,2015-11-18T06:00:00Z,23.9276,139.6741,0,001117
5200811,127025,2015-11-18T07:00:00Z,23.9758,139.6652,0,001117
5200811,127025,2015-11-18T08:00:00Z,24.0059,139.6813,0,001117
5200811,127025,2015-11-18T09:00:00Z,24.0059,139.6813,0,001117
5200811,127025,2015-11-18T10:00:00Z,24.0542,139.7078,0,001447
5200811,127025,2015-11-18T11:00:00Z,24.0632,139.7013,0,001117
5200811,127025,2015-11-18T12:00:00Z,24.0739,139.7022,0,001117
5200811,127025,2015-11-18T13:00:00Z,24.0862,139.7108,0,001117
5200811,127025,2015-11-18T14:00:00Z,24.0862,139.7108,0,001117
5200811,127025,2015-11-18T15:00:00Z,24.1482,139.7236,0,001447
5200811,127025,2015-11-18T16:00:00Z,24.1507,139.7209,0,001117
5200811,127025,2015-11-18T17:00:00Z,24.1482,139.7236,0,001117
5200811,127025,2015-11-18T18:00:00Z,24.1774,139.7281,0,001117
5200811,127025,2015-11-18T19:00:00Z,24.2006,139.7243,0,001117
5200811,127025,2015-11-18T20:00:00Z,24.2208,139.7283,0,001117
5200811,127025,2015-11-18T21:00:00Z,24.2351,139.7292,0,001117
5200811,127025,2015-11-18T22:00:00Z,24.2450,139.7339,0,001117
5200811,127025,2015-11-18T23:00:00Z,24.2450,139.7339,0,001117
5200811,127025,2015-11-19T00:00:00Z,24.3019,139.7387,0,001447
5200811,127025,2015-11-19T01:00:00Z,24.3314,139.7428,0,001117
5200811,127025,2015-11-19T02:00:00Z,24.3264,139.7391,0,001117
5200811,127025,2015-11-19T03:00:00Z,24.3802,139.7484,0,001447
5200811,127025,2015-11-19T04:00:00Z,24.3758,139.7494,0,001117
5200811,127025,2015-11-19T05:00:00Z,24.4050,139.7764,0,001117
5200811,127025,2015-11-19T06:00:00Z,24.4056,139.7749,0,001117
