PLATFORM,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH (meter),TEMP (degree_Celsius),QC,BATHY,BATHY_QC,STATION_GLOBAL_QC
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,432,12,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,434,11.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,436,11.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,438,11.7,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,440,11.7,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,442,11.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,444,11.5,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,446,11.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,448,11.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,450,11.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,452,11.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,454,11.3,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,456,11.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,458,11.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,460,10.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,462,10.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,464,10.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,466,10.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,468,10.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,470,10.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,472,10.5,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,474,10.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,476,10.3,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,478,10.3,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,480,10.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,482,10.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,484,10,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,486,10,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,488,10,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,490,9.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,492,9.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,494,9.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,496,9.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,498,9.7,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,500,9.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,502,9.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,504,9.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,506,9.5,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,508,9.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,510,9.3,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,512,9.3,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,514,9.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,516,9.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,518,9.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,520,9.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,522,9.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,524,9.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,526,9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,528,8.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,530,8.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,532,8.7,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,534,8.7,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,536,8.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,538,8.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,540,8.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,542,8.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,544,8.5,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,546,8.5,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,548,8.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,550,8.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,552,8.3,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,554,8.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,556,8.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,558,8.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,560,8.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,562,8.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,564,8.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,566,8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,568,7.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,570,7.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,572,7.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,574,7.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,576,7.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,578,7.7,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,580,7.7,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,582,7.6,011111, ,9,1
